city_ascii,admin_name,population
Tilburg,Noord-Brabant,1944588
Amsterdam,Noord-Holland,1459402
Rotterdam,Zuid-Holland,664311
Den Haag,Zuid-Holland,548320
Utrecht,Utrecht,359370
Maastricht,Limburg,277721
Eindhoven,Noord-Brabant,243730
Groningen,Groningen,233273
Almere,Flevoland,214715
Breda,Noord-Brabant,184126
Nijmegen,Gelderland,177659
Arnhem,Gelderland,164096
Haarlem,Noord-Holland,162543
Enschede,Overijssel,159703
s-Hertogenbosch,Noord-Brabant,157486
Amersfoort,Utrecht,157462
Zaanstad,Noord-Holland,156901
Apeldoorn,Gelderland,138945
Zwolle,Overijssel,129840
Zoetermeer,Zuid-Holland,125267
Leeuwarden,Friesland,124481
Leiden,Zuid-Holland,124093
Dordrecht,Zuid-Holland,121434
Alphen aan den Rijn,Zuid-Holland,114182
Alkmaar,Noord-Holland,111766
Delft,Zuid-Holland,109435
Emmen,Drenthe,107024
Deventer,Overijssel,101236
Helmond,Noord-Brabant,92627
Oss,Noord-Brabant,92526
Hilversum,Noord-Holland,91235
Heerlen,Limburg,86936
Lelystad,Flevoland,83033
Purmerend,Noord-Holland,81515
Hengelo,Overijssel,81049
Schiedam,Zuid-Holland,79279
Zaandam,Noord-Holland,78682
Hoofddorp,Noord-Holland,77885
Roosendaal,Noord-Brabant,77200
Vlaardingen,Zuid-Holland,73924
Gouda,Zuid-Holland,73681
Hoorn,Noord-Holland,73619
Almelo,Overijssel,73132
Spijkenisse,Zuid-Holland,72740
Ede,Gelderland,72460
Amstelveen,Noord-Holland,69823
Assen,Drenthe,68836
Velsen-Zuid,Noord-Holland,68617
Bergen op Zoom,Noord-Brabant,67514
Capelle aan den IJssel,Zuid-Holland,67319
Veenendaal,Utrecht,66912
Katwijk,Zuid-Holland,66607
Zeist,Utrecht,65043
Nieuwegein,Utrecht,63866
Barneveld,Gelderland,59992
Hardenberg,Overijssel,59689
Scheveningen,Zuid-Holland,58850
Heerhugowaard,Noord-Holland,58387
Doetinchem,Gelderland,58270
Roermond,Limburg,57308
Den Helder,Noord-Holland,56582
Oosterhout,Noord-Brabant,56206
Hoogeveen,Drenthe,55603
Rijswijk,Zuid-Holland,55220
Terneuzen,Zeeland,54589
Kampen,Overijssel,54474
Woerden,Utrecht,52694
Houten,Utrecht,50223
Weert,Limburg,50011
Middelburg,Zeeland,49956
Waalwijk,Noord-Brabant,48815
Harderwijk,Gelderland,48726
Barendrecht,Zuid-Holland,48643
IJmuiden,Noord-Holland,48320
Zutphen,Gelderland,47423
Soest,Utrecht,46906
Ridderkerk,Zuid-Holland,46671
Schagen,Noord-Holland,46553
Veldhoven,Noord-Brabant,45500
Kerkrade,Limburg,45442
Drachten,Friesland,45186
Medemblik,Noord-Holland,45165
Heusden,Noord-Brabant,45005
Zwijndrecht,Zuid-Holland,44775
Vlissingen,Zeeland,44358
Zevenaar,Gelderland,44096
Noordwijk,Zuid-Holland,44062
Etten-Leur,Noord-Brabant,43869
Venray,Limburg,43713
Nijkerk,Gelderland,43600
Rheden,Gelderland,43525
De Bilt,Utrecht,43384
Dronten,Flevoland,42011
Tiel,Gelderland,41920
Beverwijk,Noord-Holland,41863
Uden,Noord-Brabant,41782
Wijchen,Gelderland,41261
Huizen,Noord-Holland,41090
Hellevoetsluis,Zuid-Holland,40312
Maarssen,Utrecht,39752
Wageningen,Gelderland,39635
Heemskerk,Noord-Holland,39191
Goes,Zeeland,38950
Veghel,Noord-Brabant,38077
Raalte,Overijssel,37911
Teijlingen,Zuid-Holland,37791
Venlo,Limburg,37663
Gorinchem,Zuid-Holland,37410
Landgraaf,Limburg,37262
Moerdijk,Noord-Brabant,37185
Sittard,Limburg,37085
Castricum,Noord-Holland,36086
Hellendoorn,Overijssel,35932
Hoogvliet,Zuid-Holland,35575
Coevorden,Drenthe,35483
Tynaarlo,Drenthe,34592
Meppel,Drenthe,34386
Lochem,Gelderland,33948
Sneek,Friesland,33855
IJsselstein,Utrecht,33819
Maassluis,Zuid-Holland,33567
Epe,Gelderland,33198
Boxtel,Noord-Brabant,32973
Deurne,Noord-Brabant,32437
Bussum,Noord-Holland,32410
Oisterwijk,Noord-Brabant,32373
Papendrecht,Zuid-Holland,32171
Aalsmeer,Noord-Holland,31991
Stadskanaal,Groningen,31789
Oldenzaal,Overijssel,31701
Vught,Noord-Brabant,31669
Renkum,Gelderland,31417
Nieuw-Vennep,Noord-Holland,31415
Waddinxveen,Zuid-Holland,31342
Diemen,Noord-Holland,31334
Hendrik-Ido-Ambacht,Zuid-Holland,31258
Valkenswaard,Noord-Brabant,31221
Rosmalen,Noord-Brabant,31219
Leusden,Utrecht,30544
Best,Noord-Brabant,30216
Uithoorn,Noord-Holland,30206
Oosterend,Friesland,29812
Heesch,Noord-Brabant,29728
Bergen,Noord-Holland,29715
Sint-Michielsgestel,Noord-Brabant,29498
Zaltbommel,Gelderland,29447
Krimpen aan den IJssel,Zuid-Holland,29410
Nieuwkoop,Zuid-Holland,29151
Culemborg,Gelderland,29121
Boxmeer,Noord-Brabant,29065
Winterswijk,Gelderland,29022
Dalfsen,Overijssel,28901
Heerenveen,Friesland,28497
Nunspeet,Gelderland,28021
Geldrop,Noord-Brabant,28001
Langedijk,Noord-Holland,27992
Vleuten,Utrecht,27815
Brunssum,Limburg,27670
Veendam,Groningen,27616
Hulst,Zeeland,27575
Heemstede,Noord-Holland,27545
Leiderdorp,Zuid-Holland,27377
Blerick,Limburg,27330
Drimmelen,Noord-Brabant,27325
Pijnacker,Zuid-Holland,27130
Aalten,Gelderland,27120
Ermelo,Gelderland,27016
Wassenaar,Zuid-Holland,26949
Werkendam,Noord-Brabant,26940
Dongen,Noord-Brabant,26368
Beuningen,Gelderland,26157
Tholen,Zeeland,26085
Emmeloord,Flevoland,26055
Voorschoten,Zuid-Holland,25650
Sliedrecht,Zuid-Holland,25597
Veenoord,Friesland,25464
Duiven,Gelderland,25066
Oegstgeest,Zuid-Holland,25064
Steenbergen,Noord-Brabant,25054
Nijverdal,Overijssel,25000
Cuijk,Noord-Brabant,24931
Stein,Limburg,24875
Baarn,Utrecht,24792
Voorst,Gelderland,24790
Delfzijl,Groningen,24716
Wierden,Overijssel,24538
Putten,Gelderland,24365
Oud-Beijerland,Zuid-Holland,24301
Haaksbergen,Overijssel,24229
Heiloo,Noord-Holland,24144
Goirle,Noord-Brabant,23952
Wijk bij Duurstede,Utrecht,23925
Oldebroek,Gelderland,23760
Borne,Overijssel,23668
Loon op Zand,Noord-Brabant,23504
Bloemendaal,Noord-Holland,23478
Elburg,Gelderland,23429
Sluis,Zeeland,23386
Rucphen,Noord-Brabant,23080
Lisse,Zuid-Holland,22982
Losser,Overijssel,22888
Zeewolde,Flevoland,22879
Beek en Donk,Noord-Brabant,22805
Volendam,Noord-Holland,22715
Hillegom,Zuid-Holland,22197
s-Gravenzande,Zuid-Holland,22190
Hoogezand,Groningen,22080
Woensdrecht,Noord-Brabant,22028
Zundert,Noord-Brabant,21988
Bilthoven,Utrecht,21984
De Meern,Utrecht,21815
Geertruidenberg,Noord-Brabant,21770
Tubbergen,Overijssel,21315
Urk,Flevoland,21227
Cranendonck,Noord-Brabant,21001
Brummen,Gelderland,20884
Nuenen,Noord-Brabant,20580
Bladel,Noord-Brabant,20529
Rhenen,Utrecht,20203
Alblasserdam,Zuid-Holland,20136
Vianen,Utrecht,19967
Eersel,Noord-Brabant,19528
Someren,Noord-Brabant,19428
Weesp,Noord-Holland,19334
Nootdorp,Zuid-Holland,19000
Druten,Gelderland,18991
Krommenie,Noord-Holland,18955
Zuidhorn,Groningen,18917
Groesbeek,Gelderland,18870
Naaldwijk,Zuid-Holland,18858
Oirschot,Noord-Brabant,18842
Edam,Noord-Holland,18828
Heerde,Gelderland,18776
Bergeijk,Noord-Brabant,18754
Meerssen,Limburg,18661
Enkhuizen,Noord-Holland,18637
Hardinxveld-Giessendam,Zuid-Holland,18413
Ommen,Overijssel,18295
Middelharnis,Zuid-Holland,18050
Bodegraven,Zuid-Holland,17954
Haren,Groningen,17950
Sint-Oedenrode,Noord-Brabant,17893
Son en Breugel,Noord-Brabant,17552
Waalre,Noord-Brabant,17544
Brielle,Zuid-Holland,17439
Staphorst,Overijssel,17261
Nederweert,Limburg,17171
Zandvoort,Noord-Holland,17168
Gennep,Limburg,17035
Gemert,Noord-Brabant,16820
Asten,Noord-Brabant,16817
Rijen,Noord-Brabant,16800
Glanerbrug,Overijssel,16715
Noordwijkerhout,Zuid-Holland,16605
Kaatsheuvel,Noord-Brabant,16600
Heumen,Gelderland,16569
Harenkarspel,Noord-Holland,16179
Vlagtwedde,Groningen,15908
Schaesberg,Limburg,15900
Beek,Limburg,15875
Harlingen,Friesland,15822
Hilvarenbeek,Noord-Brabant,15698
Nuth,Limburg,15423
Bunnik,Utrecht,15341
Boskoop,Zuid-Holland,15045
Westervoort,Gelderland,15014
Sassenheim,Zuid-Holland,14886
Breukelen,Utrecht,14736
Woudrichem,Noord-Brabant,14634
Lopik,Utrecht,14456
Haaren,Noord-Brabant,14195
Beilen,Drenthe,14089
Montfoort,Utrecht,13996
Julianadorp,Noord-Holland,13925
Wezep,Gelderland,13715
Woudenberg,Utrecht,13639
Uitgeest,Noord-Holland,13632
Winsum,Groningen,13560
Beesel,Limburg,13450
Margraten,Limburg,13370
Reeuwijk,Zuid-Holland,13296
Badhoevedorp,Noord-Holland,13290
Bergen,Limburg,13108
Wolvega,Friesland,13090
Joure,Friesland,13090
Horst,Limburg,13080
Schinnen,Limburg,12911
Kapelle,Zeeland,12882
Dedemsvaart,Overijssel,12840
Franeker,Friesland,12781
Oudenbosch,Noord-Brabant,12780
Wieringerwerf,Noord-Holland,12576
Grave,Noord-Brabant,12486
Made,Noord-Brabant,12470
Raamsdonksveer,Noord-Brabant,12470
Voerendaal,Limburg,12466
Rozenburg,Zuid-Holland,12455
Neerijnen,Gelderland,12397
Dokkum,Friesland,12365
Hattem,Gelderland,12228
Opmeer,Noord-Holland,12009
Klazienaveen,Drenthe,11980
Blaricum,Noord-Holland,11952
Schoonhoven,Zuid-Holland,11922
Appingedam,Groningen,11721
